Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
4189,Republicair,null,,RBC,REPUBLICAIR,Mexico,N
4190,Resort Air,null,,RST,RESORT AIR,United States,N
4191,Rhoades Aviation,null,,RDS,RHOADES EXPRESS,United States,N
4192,Riau Airlines,null,,RIU,RIAU AIR,Indonesia,N
4193,Rich International Airways,null,,RIA,RICHAIR,United States,N
4194,Richards Aviation,null,,RVC,RIVER CITY,United States,N
4195,Richardson's Airway,null,,RIC,RICHARDSON,United States,N
4196,Richland Aviation,null,,RCA,RICHLAND,United States,N
4197,Rick Lucas Helicopters,null,,HPR,HELIPRO,New Zealand,N
4198,Rico Linhas A,null,C7,RLE,RICO,Brazil,N
4199,Ridder Avia,null,,RID,AKRID,Kazakhstan,N
4200,Riga Airclub,null,,RAK,SPORT CLUB,Latvia,N
4201,Rijnmond Air Services,null,,RAZ,RIJNMOND,Netherland,N
4202,Rikspolisstyrelsen,null,,POL,,Sweden,N
4203,Rimrock Airlines,null,,RIM,RIMROCK,United States,N
4204,Rio Air Express,null,,SKA,RIO EXPRESS,Brazil,N
4205,Rio Airways,null,,REO,RIO,United States,N
4206,Rio Grande Air,null,E2,GRN,GRANDE,United States,N
4207,Rio Sul Servi,null,SL,RSL,RIO SUL,Brazil,N
4208,River Ministries Air Charter,null,,RVM,RIVER,South Africa,N
4209,River State Government of Nigeria,null,,RGP,GARDEN CITY,Nigeria,N
4210,Rivne Universal Avia,null,,UNR,RIVNE UNIVERSAL,Ukraine,N
4211,Roadair Lines,null,,RDL,ROADAIR,Canada,N
4212,Robinton Aero,null,,RBT,ROBIN,Dominican Republic,N
4213,Roblex Aviation,null,,ROX,ROBLEX,United States,N
4214,Rockwell Collins Avionics,null,,RKW,ROCKWELL,United States,N
4215,Rocky Mountain Airlines,null,,ROC,,Canada,N
4216,Rocky Mountain Airways,null,,RMA,ROCKY MOUNTAIN,United States,N
4217,Rocky Mountain Holdings,null,,LIF,LIFECARE,United States,N
4218,Rodze Air,null,,RDZ,RODZE AIR,Nigeria,N
4219,Rog-Air,null,,FAD,AIR FRONTIER,Canada,N
4220,Rollright Aviation,null,,RRZ,ROLLRIGHT,United Kingdom,N
4221,Rolls-Royce Limited,null,,RRL,MERLIN,United Kingdom,N
4222,Rolls-Royce plc,null,,BTU,ROLLS,United Kingdom,N
4223,Romanian Air Force,null,,ROF,ROMAF,Romania,N
4224,Romavia,null,,RMV,AEROMAVIA,Romania,N
4225,Ronso,null,,RNS,RONSO,Mexico,N
4226,Roraima Airways,null,,ROR,RORAIMA,Guyana,N
4227,Rosneft-Baltika,null,,RNB,ROSBALT,Russia,N
4228,Ross Aviation,null,,NRG,ENERGY,United States,N
4229,Rossair,null,,RFS,,Australia,N
4230,Rossair,null,,RSS,ROSS CHARTER,South Africa,N
4231,Rossair Europe,null,,ROS,CATCHER,Netherlands,N
4232,Rossiya,null,R4,,,Russia,Y
4233,Roswell Airlines,null,,RAL,ROSWELL,United States,N
4234,Air Rarotonga,null,GZ,RAR,,Cook Islands,Y
4235,Rotatur,null,,RTR,ROTATUR,Brazil,N
4236,Rotormotion,null,,RKT,ROCKET,United Kingdom,N
4237,Rotterdam Jet Center,null,,JCR,ROTTERDAM JETCENTER,Netherlands,N
4238,Rover Airways International,null,,ROV,ROVERAIR,United States,N
4239,Rovos Air,null,,VOS,ROVOS,South Africa,N
4240,Royal Air Cargo,null,,RCG,ROYAL CARGO,South Africa,N
4241,Royal Air Force,null,RR,RFR,RAFAIR,United Kingdom,N
4242,Royal Air Force of Oman,null,RS,MJN,MAJAN,Oman,N
4243,Royal Air Force,null,,ACW,AIR CADET,United Kingdom,N
4244,Royal Air Force,null,,RRR,ASCOT,United Kingdom,N
